seqnames,starts,ends,set,gene_name,gene_start,diff_next,diff_prev
chr1,17657008,17853616,train,ACTL8,17755312,352433.0,215478.0
chr1,18009441,18206049,train,IGSF21,18107745,373236.0,352433.0
chr1,18382677,18579285,train,KLHDC7A,18480981,150024.0,373236.0
chr1,18532701,18729309,train,PAX7,18631005,228677.0,150024.0
chr1,18761378,18957986,train,TAS1R2,18859682,43099.0,228677.0
chr1,18804477,19001085,train,ALDH4A1,18902781,53905.0,43099.0
chr1,18858382,19054990,train,IFFO2,18956686,253590.0,53905.0
chr1,19111972,19308580,train,UBR4,19210276,41262.0,253590.0
chr1,19153234,19349842,train,EMC1/MRTO4,19251538/19251552,14.0,41262.0
chr1,19190946,19387554,train,AKR7A3,19289250,22896.0,37698.0
chr1,19213842,19410450,train,AKR7A2,19312146,179.0,22896.0
chr1,19214021,19410629,train,PQLC2,19312325,173214.0,179.0
chr1,19387235,19583843,train,CAPZB,19485539,111437.0,173214.0
chr1,19498672,19695280,train,MINOS1,19596976,43577.0,111437.0
chr1,19542249,19738857,train,NBL1,19640553,24733.0,43577.0
chr1,19566982,19763590,train,HTR6,19665286,134659.0,24733.0
chr1,19701641,19898249,train,TMCO4,19799945,15333.0,134659.0
chr1,19716974,19913582,train,RNF186,19815278,67234.0,15333.0
chr1,19784208,19980816,train,OTUD3,19882512,41105.0,67234.0
chr1,19825313,20021921,train,PLA2G2E,19923617,56799.0,41105.0
chr1,19882112,20078720,train,PLA2G2A,19980416,47762.0,56799.0
chr1,19929874,20126482,train,PLA2G5,20028178,91388.0,47762.0
chr1,20021262,20217870,train,PLA2G2D,20119566,19759.0,91388.0
chr1,20041021,20237629,train,PLA2G2F,20139325,38099.0,19759.0
chr1,20079120,20275728,train,PLA2G2C,20177424,8660.0,38099.0
chr1,20087780,20284388,train,UBXN10,20186084,104834.0,8660.0
chr1,20192614,20389222,train,VWA5B1,20290918,195302.0,104834.0
chr1,20387916,20584524,train,CAMK2N1,20486220,21941.0,195302.0
chr1,20409857,20606465,train,MUL1,20508161,44277.0,21941.0
chr1,20454134,20650742,train,FAM43B,20552438,36509.0,44277.0
chr1,20490643,20687251,train,CDA,20588947,44507.0,36509.0
chr1,20535150,20731758,train,PINK1,20633454,28090.0,44507.0
chr1,20563240,20759848,train,DDOST,20661544,56473.0,28090.0
chr1,20619713,20816321,train,KIF17,20718017,14820.0,56473.0
chr1,20634533,20831141,train,SH2D5,20732837,54486.0,14820.0
chr1,20689019,20885627,train,HP1BP3,20787323,389565.0,54486.0
chr1,21078584,21275192,train,EIF4G3,21176888,168616.0,389565.0
chr1,21247200,21443808,train,ECE1,21345504,94623.0,168616.0
chr1,21341823,21538431,train,NBPF3,21440127,69244.0,94623.0
chr1,21411067,21607675,train,ALPL,21509371,159992.0,69244.0
chr1,21571059,21767667,train,RAP1GAP,21669363,114243.0,159992.0
chr1,21685302,21881910,train,USP48,21783606,28658.0,114243.0
chr1,21713960,21910568,train,LDLRAD2,21812264,125033.0,28658.0
chr1,21838993,22035601,train,HSPG2,21937297,39723.0,125033.0
chr1,21878716,22075324,train,CELA3B,21977020,24635.0,39723.0
chr1,21903351,22099959,train,CELA3A,22001655,50971.0,24635.0
chr1,21954322,22150930,train,CDC42,22052626,91343.0,50971.0
chr1,22045665,22242273,train,WNT4,22143969,307881.0,91343.0
chr1,22353546,22550154,train,ZBTB40,22451850,111713.0,307881.0
chr1,22465259,22661867,train,EPHA8,22563563,72942.0,111713.0
chr1,22538201,22734809,train,C1QA,22636505,7124.0,72942.0
chr1,22545325,22741933,train,C1QC,22643629,9132.0,7124.0
chr1,22554457,22751065,train,C1QB,22652761,58077.0,9132.0
chr1,22612534,22809142,train,EPHB2,22710838,254500.0,58077.0
chr1,22867034,23063642,train,LACTBL1,22965338,50512.0,254500.0
chr1,22917546,23114154,train,C1orf234,23015850,3597.0,50512.0
chr1,22921143,23117751,train,KDM1A,23019447,158361.0,3597.0
chr1,23079504,23276112,train,LUZP1,23177808,16921.0,158361.0
chr1,23096425,23293033,train,HTR1D,23194729,149607.0,16921.0
chr1,23246032,23442640,train,HNRNPR,23344336,24050.0,149607.0
chr1,23270082,23466690,train,ZNF436,23368386,56354.0,24050.0
chr1,23326436,23523044,train,TCEA3,23424740,59828.0,56354.0
chr1,23386264,23582872,train,ASAP3,23484568,46652.0,59828.0
chr1,23432916,23629524,train,E2F2,23531220,28574.0,46652.0
chr1,23461490,23658098,train,ID3,23559794,21700.0,28574.0
chr1,23483190,23679798,train,MDS2,23581494,110284.0,21700.0
chr1,23593474,23790082,train,RPL11,23691778,51376.0,110284.0
chr1,23644850,23841458,train,ELOA,23743154,35250.0,51376.0
chr1,23680100,23876708,train,PITHD1,23778404,12565.0,35250.0
chr1,23692665,23889273,train,LYPLA2,23790969,9835.0,12565.0
chr1,23702500,23899108,train,GALE,23800804,37816.0,9835.0
chr1,23740316,23936924,train,HMGCL,23838620,29674.0,37816.0
chr1,23769990,23966598,train,FUCA1,23868294,45068.0,29674.0
chr1,23815058,24011666,train,CNR2,23913362,45746.0,45068.0
chr1,23860804,24057412,train,PNRC2,23959108,21819.0,45746.0
chr1,23882623,24079231,train,SRSF10,23980927,131248.0,21819.0
chr1,24013871,24210479,train,MYOM3,24112175,30946.0,131248.0
chr1,24044817,24241425,train,IL22RA1,24143121,44838.0,30946.0
chr1,24089655,24286263,train,IFNLR1,24187959,131362.0,44838.0
chr1,24221017,24417625,train,GRHL3,24319321,97613.0,131362.0
chr1,24318630,24515238,train,STPG1,24416934,2356.0,97613.0
chr1,24320986,24517594,train,NIPAL3,24419290,83060.0,2356.0
chr1,24404046,24600654,train,RCAN3,24502350,53760.0,83060.0
chr1,24457806,24654414,train,NCMAP,24556110,75605.0,53760.0
chr1,24533411,24730019,train,SRRM1,24631715,113641.0,75605.0
chr1,24647052,24843660,train,CLIC4,24745356,219765.0,113641.0
chr1,24866817,25063425,train,RUNX3,24965121,267381.0,219765.0
chr1,25134198,25330806,train,SYF2,25232502,39890.0,267381.0
chr1,25174088,25370696,train,RHD,25272392,65524.0,39890.0
chr1,25239612,25436220,train,RSRP1,25337916,297.0,65524.0
chr1,25239909,25436517,train,TMEM50A,25338213,91979.0,297.0
chr1,25331888,25528496,train,RHCE,25430192,665.0,91979.0
chr1,25332553,25529161,train,TMEM57,25430857,112722.0,665.0
chr1,25445275,25641883,train,LDLRAP1,25543579,73888.0,112722.0
chr1,25519163,25715771,train,MAN1C1,25617467,182708.0,73888.0
chr1,25701871,25898479,train,SELENON,25800175,20622.0,182708.0
chr1,25722493,25919101,train,MTFR1L,25820797,38661.0,20622.0
chr1,25761154,25957762,train,AUNIP,25859458,11795.0,38661.0
chr1,25772949,25969557,train,PAQR7,25871253,35738.0,11795.0
chr1,25808687,26005295,train,STMN1,25906991,91166.0,35738.0
chr1,25899853,26096461,train,PAFAH2,25998157,21726.0,91166.0
chr1,25921579,26118187,train,EXTL1,26019883,26250.0,21726.0
chr1,25947829,26144437,train,SLC30A2,26046133,22303.0,26250.0
chr1,25970132,26166740,train,TRIM63,26068436,42728.0,22303.0
chr1,26012860,26209468,train,PDIK1L,26111164,47855.0,42728.0
chr1,26060715,26257323,train,FAM110D,26159019,9562.0,47855.0
chr1,26070277,26266885,train,RP11-96L14.8,26168581,2232.0,9562.0
chr1,26072509,26269117,train,ZNF593,26170813,1008.0,2232.0
chr1,26073517,26270125,train,RP11-96L14.7,26171821,5581.0,1008.0
chr1,26079098,26275706,train,CNKSR1,26177402,13158.0,5581.0
chr1,26092256,26288864,train,CATSPER4,26190560,43592.0,13158.0
chr1,26135848,26332456,train,CEP85,26234152,45023.0,43592.0
chr1,26180871,26377479,train,SH3BGRL3,26279175,38781.0,45023.0
chr1,26219652,26416260,train,CD52,26317956,407.0,38781.0
chr1,26220059,26416667,train,UBXN11,26318363,41689.0,407.0
chr1,26261748,26458356,train,AIM1L,26360052,14470.0,41689.0
chr1,26276218,26472826,train,ZNF683,26374522,36255.0,14470.0
chr1,26312473,26509081,train,LIN28A,26410777,21504.0,36255.0
chr1,26333977,26530585,train,DHDDS,26432281,40168.0,21504.0
chr1,26374145,26570753,train,HMGN2,26472449,57311.0,40168.0
chr1,26431456,26628064,train,RPS6KA1,26529760,166271.0,57311.0
chr1,26597727,26794335,train,ARID1A,26696031,91440.0,166271.0
chr1,26689167,26885775,train,PIGV,26787471,39238.0,91440.0
chr1,26728405,26925013,train,ZDHHC18,26826709,36428.0,39238.0
chr1,26764833,26961441,train,SFN,26863137,27160.0,36428.0
chr1,26791993,26988601,train,GPN2,26890297,10169.0,27160.0
chr1,26802162,26998770,train,GPATCH3,26900466,1815.0,10169.0
chr1,26803977,27000585,train,NUDC,26902281,11685.0,1815.0
chr1,26815662,27012270,train,NR0B2,26913966,46440.0,11685.0
chr1,26862102,27058710,train,KDF1,26960406,33300.0,46440.0
chr1,26895402,27092010,train,TRNP1,26993706,19130.0,33300.0
chr1,26914532,27111140,train,FAM46B,27012836,154145.0,19130.0
chr1,27068677,27265285,train,SLC9A1,27166981,67534.0,154145.0
chr1,27136211,27332819,train,WDTC1,27234515,87629.0,67534.0
chr1,27223840,27420448,train,TMEM222,27322144,19875.0,87629.0
chr1,27243715,27440323,train,SYTL1,27342019,24873.0,19875.0
chr1,27268588,27465196,train,MAP3K6,27366892,7932.0,24873.0
chr1,27276520,27473128,train,FCN3,27374824,8556.0,7932.0
chr1,27285076,27481684,train,CD164L2,27383380,9263.0,8556.0
chr1,27294339,27490947,train,GPR3,27392643,97515.0,9263.0
chr1,27391854,27588462,train,WASF2,27490158,114273.0,97515.0
chr1,27506127,27702735,train,AHDC1,27604431,30846.0,114273.0
chr1,27536973,27733581,train,FGR,27635277,36941.0,30846.0
chr1,27573914,27770522,train,IFI6,27672218,53760.0,36941.0
chr1,27627674,27824282,train,FAM76A,27725978,47204.0,53760.0
chr1,27674878,27871486,train,STX12,27773182,57595.0,47204.0
chr1,27732473,27929081,train,PPP1R8,27830777,41765.0,57595.0
chr1,27774238,27970846,train,THEMIS2,27872542,42204.0,41765.0
chr1,27816442,28013050,train,RPA2,27914746,20246.0,42204.0
chr1,27836688,28033296,train,SMPDL3B,27934992,24469.0,20246.0
chr1,27861157,28057765,train,XKR8,27959461,129235.0,24469.0
chr1,27990392,28187000,train,EYA3,28088696,105240.0,129235.0
chr1,28095632,28292240,train,PTAFR,28193936,39089.0,105240.0
chr1,28134721,28331329,train,DNAJC8,28233025,3083.0,39089.0
chr1,28137804,28334412,train,ATPIF1,28236108,23418.0,3083.0
chr1,28161222,28357830,train,SESN2,28259526,69475.0,23418.0
chr1,28230697,28427305,train,MED18,28329001,40580.0,69475.0
chr1,28271277,28467885,train,PHACTR4,28369581,136361.0,40580.0
chr1,28407638,28604246,train,RCC1,28505942,47142.0,136361.0
chr1,28454780,28651388,train,TRNAU1AP,28553084,39115.0,47142.0
chr1,28493895,28690503,train,RAB42,28592199,50886.0,39115.0
chr1,28544781,28741389,train,TAF12,28643085,25646.0,50886.0
chr1,28570427,28767035,train,GMEB1,28668731,67889.0,25646.0
chr1,28638316,28834924,train,YTHDF2,28736620,75521.0,67889.0
chr1,28713837,28910445,train,OPRD1,28812141,74949.0,75521.0
chr1,28788786,28985394,train,EPB41,28887090,236845.0,74949.0
chr1,29025631,29222239,train,TMEM200B,29123935,58052.0,236845.0
chr1,29083683,29280291,train,SRSF4,29181987,48955.0,58052.0
chr1,29132638,29329246,train,MECR,29230942,5573.0,48955.0
chr1,29138211,29334819,train,PTPRU,29236515,1487072.0,5573.0
chr1,30625283,30821891,train,MATN1,30723587,34233.0,1487072.0
chr1,30659516,30856124,train,LAPTM5,30757820,150941.0,34233.0
chr1,30810457,31007065,train,SDC3,30908761,157230.0,150941.0
chr1,30967687,31164295,train,PUM1,31065991,173563.0,157230.0
chr1,31141250,31337858,train,NKAIN1,31239554,57228.0,173563.0
chr1,31198478,31395086,train,SNRNP40,31296782,199.0,57228.0
chr1,31198677,31395285,train,ZCCHC17,31296981,79869.0,199.0
chr1,31278546,31475154,train,FABP3,31376850,32714.0,79869.0
chr1,31311260,31507868,train,SERINC2,31409564,166920.0,32714.0
chr1,31478180,31674788,train,TINAGL1,31576484,41201.0,166920.0
chr1,31519381,31715989,train,HCRTR1,31617685,27211.0,41201.0
chr1,31546592,31743200,train,PEF1,31644896,59423.0,27211.0
chr1,31606015,31802623,train,COL16A1,31704319,60574.0,59423.0
chr1,31666589,31863197,train,ADGRB2,31764893,51158.0,60574.0
chr1,31717747,31914355,train,SPOCD1,31816051,128805.0,51158.0
chr1,31846552,32043160,train,PTP4A2,31944856,68972.0,128805.0
chr1,31915524,32112132,train,KHDRBS1,32013828,58202.0,68972.0
chr1,31973726,32170334,train,TMEM39B,32072030,36007.0,58202.0
chr1,32009733,32206341,train,KPNA6,32108037,71648.0,36007.0
chr1,32081381,32277989,train,TXLNA,32179685,20700.0,71648.0
chr1,32102081,32298689,train,CCDC28B,32200385,5373.0,20700.0
chr1,32107454,32304062,train,IQCC,32205758,3335.0,5373.0
